EmployeeID,Name,Department,Role,Location,ExperienceYears,Age,JobLevel,PerformanceRating,Salary,SalaryBand,Bonus,BenefitsEstimate,JoiningDate,Gender,ManagerID
1,Employee_00001,Finance,Financial Analyst,Hyderabad,8,31,L6,5,1021815,C,183926,122617,02-10-2016,Male,907
2,Employee_00002,Engineering,Data Engineer,Mumbai,5,28,L5,4,1176337,C,117633,141160,21-06-2012,Male,633
3,Employee_00003,Engineering,Senior Software Engineer,Chennai,5,30,L5,3,1312927,C,65646,157551,09-06-2016,Male,420
4,Employee_00004,Engineering,DevOps Engineer,Mumbai,7,29,L7,3,1212007,C,60600,145440,24-06-2019,Male,
5,Employee_00005,Finance,Senior Financial Analyst,Bangalore,4,28,L3,2,837359,D,16747,100483,22-11-2008,Other,93
6,Employee_00006,Finance,Senior Financial Analyst,Noida,11,34,L7,2,1395402,C,27908,167448,03-05-2022,Other,
7,Employee_00007,HR,HRBP,Pune,5,29,L5,4,627921,D,62792,75350,26-01-2015,Other,347
8,Employee_00008,Engineering,Fullstack Engineer,Noida,4,27,L5,5,1001864,C,180335,120223,01-04-2012,Other,342
9,Employee_00009,Engineering,DevOps Engineer,Hyderabad,6,28,L4,2,965803,D,19316,115896,02-12-2014,Other,887
10,Employee_00010,Engineering,Tech Lead,Mumbai,7,29,L7,4,1743746,C,174374,209249,19-05-2016,Male,
11,Employee_00011,Engineering,Tech Lead,Pune,8,32,L6,3,1690749,C,84537,202889,09-04-2013,Female,829
12,Employee_00012,Engineering,Senior Software Engineer,Noida,2,24,L2,4,863149,D,86314,103577,16-05-2016,Female,63
13,Employee_00013,Engineering,Frontend Engineer,Chennai,7,29,L7,3,1375926,C,68796,165111,29-07-2021,Male,
14,Employee_00014,Engineering,Frontend Engineer,Chennai,4,29,L5,4,1132479,C,113247,135897,28-07-2018,Female,149
15,Employee_00015,Finance,Billing Specialist,Hyderabad,4,27,L3,4,636501,D,63650,76380,11-03-2023,Female,56
16,Employee_00016,Engineering,Senior Software Engineer,Chennai,5,28,L5,2,1261494,C,25229,151379,23-07-2010,Other,993
17,Employee_00017,Engineering,Frontend Engineer,Pune,8,36,L7,4,1344240,C,134424,161308,24-07-2008,Female,
18,Employee_00018,Engineering,DevOps Engineer,Mumbai,7,29,L6,5,1228911,C,221203,147469,03-08-2012,Other,832
19,Employee_00019,HR,Learning & Development Specialist,Bangalore,7,35,L7,4,710421,D,71042,85250,24-06-2006,Female,
20,Employee_00020,Engineering,Senior Software Engineer,Chennai,6,29,L5,2,1357340,C,27146,162880,27-08-2010,Other,668
21,Employee_00021,HR,Learning & Development Specialist,Hyderabad,6,31,L4,3,738231,D,36911,88587,20-11-2019,Male,25
22,Employee_00022,Finance,Accountant,Mumbai,5,27,L5,4,923232,D,92323,110787,16-10-2013,Male,771
23,Employee_00023,Engineering,Fullstack Engineer,Noida,4,29,L3,4,757766,D,75776,90931,13-06-2013,Other,848
24,Employee_00024,Engineering,DevOps Engineer,Hyderabad,4,27,L5,2,1018632,C,20372,122235,28-07-2021,Other,227
25,Employee_00025,HR,Learning & Development Specialist,Bangalore,8,32,L7,3,920409,D,46020,110449,28-05-2016,Female,
26,Employee_00026,Engineering,Software Engineer,Mumbai,2,24,L3,3,722583,D,36129,86709,21-10-2009,Female,342
27,Employee_00027,Engineering,Frontend Engineer,Hyderabad,6,31,L3,4,900894,D,90089,108107,23-06-2008,Male,531
28,Employee_00028,Engineering,Tech Lead,Bangalore,7,30,L7,3,1696499,C,84824,203579,25-09-2023,Other,
29,Employee_00029,HR,Learning & Development Specialist,Bangalore,7,38,L7,4,904612,D,90461,108553,10-03-2022,Other,
30,Employee_00030,Finance,Senior Financial Analyst,Chennai,7,29,L6,4,1361425,C,136142,163371,21-01-2009,Other,918
31,Employee_00031,HR,Learning & Development Specialist,Hyderabad,9,31,L7,2,1032223,C,20644,123866,20-03-2014,Female,
32,Employee_00032,Finance,Senior Financial Analyst,Pune,9,39,L7,3,1310758,C,65537,157290,16-10-2021,Female,75
33,Employee_00033,Engineering,ML Engineer,Chennai,6,28,L3,4,825947,D,82594,99113,20-02-2023,Female,704
34,Employee_00034,HR,HR Manager,Mumbai,4,29,L5,5,946447,D,170360,113573,19-11-2014,Female,133
35,Employee_00035,Engineering,Tech Lead,Pune,4,27,L5,2,1615081,C,32301,193809,20-08-2008,Male,839
36,Employee_00036,Engineering,Fullstack Engineer,Hyderabad,7,34,L6,4,1071402,C,107140,128568,12-10-2015,Female,1157
37,Employee_00037,HR,Learning & Development Specialist,Bangalore,8,34,L7,2,821044,D,16420,98525,03-02-2024,Male,
38,Employee_00038,Finance,Accountant,Bangalore,9,33,L5,4,870039,D,87003,104404,22-04-2025,Other,1073
39,Employee_00039,HR,HR Manager,Pune,5,29,L3,3,843445,D,42172,101213,24-12-2009,Female,31
40,Employee_00040,Engineering,DevOps Engineer,Bangalore,12,37,L10,4,1704696,C,170469,204563,05-04-2016,Female,
41,Employee_00041,Finance,Senior Financial Analyst,Pune,4,30,L3,3,1002687,C,50134,120322,19-08-2005,Female,756
42,Employee_00042,Engineering,Senior Software Engineer,Noida,9,34,L7,5,1715764,C,308837,205891,11-04-2008,Male,
